ItemRoot,UnitsLast365,Last365DaysSales,ItemAvgWeight,CountOnHand
10010,6.5,"$11,431.12",8.292,59
10219,21.0,"$21,767.49",5.163,61
11097,5.5,"$3,024.95",2.100,0
11116,3.5,"$1,574.97",1.830,0
11157,6.5,"$5,589.94",4.200,20
11170,5.0,"$3,099.95",2.140,11
11172,1.5,$779.99,2.200,16
11277,4.0,"$2,479.96",2.630,13
11283,5.0,"$2,749.95",2.100,14
11317,6.0,"$3,299.94",2.000,3
11359,10.0,"$6,599.90",2.700,4
11362,10.0,"$4,199.90",1.300,1
11533,9.5,"$7,599.91",4.000,2
11752,3.0,"$2,579.97",5.100,6
11901,4.5,"$1,889.96",1.500,5
11944,5.5,"$2,694.95",2.300,7
12264,2.0,"$5,179.98",14.120,3
12296,56.0,"$151,386.11",13.164,21
12298,0.5,$518.21,4.583,14
12300,5.0,"$10,897.09",10.029,35
12313,18.0,"$10,310.86",2.319,57
12618,4.0,"$2,639.96",3.180,18
12639,0.5,$245.00,2.120,16
12640,0.5,$375.00,3.580,25
12642,26.0,"$34,272.47",6.832,22
12645,70.0,"$62,761.00",3.223,47
12670,28.0,"$31,162.45",4.915,44
12694,40.0,"$31,985.81",3.953,29
12720,37.5,"$83,624.63",10.583,40
12722,3.5,"$13,564.41",19.420,27
12774,32.0,"$25,599.68",3.910,19
12839,112.5,"$61,665.54",1.908,54
12842,52.0,"$62,072.07",5.235,81
12843,52.5,"$81,103.51",6.824,31
12844,24.0,"$57,426.96",10.943,25
12856,5.5,"$3,011.20",2.426,32
12867,4.5,"$1,990.81",1.290,282
12868,3.5,"$2,131.93",2.429,127
12869,5.0,"$5,276.87",4.623,65
12870,2.0,"$1,219.07",2.445,22
12882,24.0,"$15,599.76",2.940,50
12898,7.5,"$2,549.93",1.100,16
12921,51.0,"$19,889.49",1.540,27
12936,4.0,"$1,719.96",1.710,3
13262,16.5,"$14,483.17",3.770,27
13263,1.5,"$2,056.75",6.036,17
13393,5.0,"$8,979.58",8.163,27
13413,3.0,"$8,943.13",15.331,19
13440,0.5,$190.00,1.300,16
13559,9.5,"$1,804.91",0.600,14
13569,2.0,"$1,399.98",3.700,5
13585,1.0,$749.99,3.720,7
13606,2.5,"$2,174.98",5.150,5
13667,4.0,"$10,079.96",13.720,10
13728,9.5,"$3,039.91",1.300,15
13849,5.0,"$2,149.95",1.640,1
13988,108.0,"$17,278.92",0.300,0
14001,30.0,"$5,699.70",0.400,18
14074,40.0,"$8,799.60",0.700,0
14240,10.0,"$15,099.90",6.718,0
14421,2.5,"$3,974.98",8.300,5
14443,0.5,$110.00,0.620,24
14452,5.5,"$1,759.95",1.150,1
14481,2.5,"$1,649.98",3.300,9
14541,52.0,"$43,159.48",3.500,2
14544,0.5,"$1,356.92",12.466,26
14680,6.5,"$4,874.94",3.800,64
14802,2.0,"$1,534.98",3.203,12
16036,26.5,"$12,719.74",1.700,1
16052,2.0,"$1,879.98",4.700,6
16094,0.0,$0.00,2.000,16
16118,3.5,"$2,624.97",3.600,4
16134,0.5,$560.00,6.830,5
16138,0.5,$395.00,4.130,6
16485,2.0,"$5,999.98",19.700,11
16520,13.5,"$5,804.87",1.500,18
16521,9.5,"$5,224.91",2.200,1
16522,14.0,"$8,399.86",2.500,0
16527,5.5,"$2,584.95",1.900,2
16551,10.5,"$1,364.90",0.200,14
16561,1.0,$129.99,0.350,186
16597,5.5,"$1,209.95",0.800,20
16678,7.0,"$4,199.93",2.520,15
16760,8.0,"$3,759.92",2.330,0
16877,4.5,"$1,979.96",1.700,10
16907,4.0,"$1,159.96",1.100,0
16912,0.5,$115.00,0.630,10
16913,4.0,$679.96,0.500,12
16934,0.5,$215.00,1.800,14
16938,4.0,$679.96,0.500,10
16970,6.5,"$2,534.94",1.600,18
16986,4.0,"$2,199.96",2.480,12
17001,9.0,"$5,939.91",3.100,0
17056,4.5,"$1,979.96",1.600,13
17110,3.5,"$1,504.97",1.900,9
17206,15.5,"$4,649.85",1.200,18
17221,0.0,$0.00,5.710,7
17224,10.0,"$4,199.90",1.600,12
17283,4.0,"$3,759.96",5.570,102
17304,1.5,$974.99,3.000,8
17324,0.5,"$2,245.62",24.160,8
17359,8.0,"$12,719.92",8.200,1
17630,3.0,"$3,179.97",5.700,7
17632,10.5,"$6,824.90",3.100,6
17681,4.0,"$1,159.96",0.800,18
17693,4.5,$809.96,0.200,12
17837,3.0,"$2,819.97",5.800,4
17847,9.0,"$9,809.91",5.600,7
17932,53.0,"$89,354.16",7.758,32
17942,2.5,"$1,841.64",2.990,33
17959,3.0,"$3,449.97",5.083,12
17960,2.5,"$4,515.36",8.346,13
17973,59.0,"$71,510.88",5.315,34
17974,46.0,"$107,677.87",11.771,15
17981,34.0,"$29,579.66",4.130,31
17988,39.0,"$186,159.61",24.411,10
17989,54.5,"$182,359.32",16.818,18
17990,56.0,"$141,085.84",12.062,15
18233,67.0,"$59,364.45",4.242,8
18395,54.5,"$8,719.46",0.400,19
18418,20.5,"$3,894.80",0.500,41
18422,4.5,$989.96,0.606,58
18475,0.5,$280.00,2.300,10
18518,-0.5,-$210.00,1.680,10
18554,2.0,$859.98,1.620,9
19028,8.5,"$7,394.92",3.900,39
19042,8.0,"$3,519.92",1.620,9
19075,5.0,$899.95,0.700,0
19414,1.5,$479.99,1.400,12
19952,3.5,"$1,049.97",0.900,12
21008,0.0,$0.00,0.910,26
21134,3.5,"$1,049.97",1.000,14
21217,0.5,$240.00,1.810,11
21226,3.5,"$1,714.97",2.090,10
21228,2.5,$974.98,1.700,13
21311,0.5,$115.00,0.900,10
21319,16.0,"$4,799.84",1.200,1
21429,45.5,"$19,503.88",1.473,90
21432,6.0,"$5,814.23",4.214,21
21526,26.0,"$33,427.07",5.686,29
21582,2.0,$939.98,2.000,9
21622,7.5,"$4,301.18",2.660,20
21624,4.0,"$2,557.67",2.456,35
21630,27.5,"$3,299.73",0.200,684
21678,64.0,"$8,319.36",0.520,615
21703,4.0,$679.96,0.900,32
21721,8.0,"$1,519.92",0.930,15
21722,3.0,$569.97,1.000,41
21723,4.5,$764.96,0.540,37
21729,5.0,$949.95,0.900,43
21737,3.5,$629.97,0.540,39
21738,7.5,"$1,349.93",0.500,0
21800,3.5,"$1,014.97",1.200,24
21801,6.5,"$1,884.94",1.000,20
21839,20.5,"$3,484.80",0.600,1
22041,20.0,"$3,199.80",0.330,20
22089,4.0,$759.96,0.500,9
22090,20.5,"$5,329.80",0.700,23
22203,2.0,$519.98,1.000,15
22221,27.5,"$21,503.95",3.294,24
22222,7.5,"$4,798.33",2.290,34
22242,28.5,"$17,606.72",2.178,95
22244,2.0,"$1,285.64",2.605,152
22380,1.5,$820.77,1.860,32
22381,3.5,"$2,378.97",2.758,70
22490,30.0,"$20,375.70",3.117,25
22493,22.0,"$14,752.72",3.208,34
22501,148.0,"$60,871.56",1.726,60
22506,57.5,"$25,402.93",1.564,20
22528,14.0,"$3,639.86",0.800,15
22637,1.0,$489.99,1.800,12
22696,11.0,"$2,859.89",0.810,1
22739,2.0,$699.98,1.300,168
22759,1.0,$299.99,1.200,24
