ItemCode,DiscountPrice,OriginalPrice,GiftCode
204025,"$1,261.99","$1,299.99",B
204035,$480.99,$499.99,0
204053,$776.99,$799.99,A
204060,$631.99,$649.99,A
204062,$576.99,$599.99,0
204064,$480.99,$499.99,0
204066,$480.99,$499.99,0
204068,$631.99,$649.99,A
204073,$728.99,$749.99,A
204075,$480.99,$499.99,0
204084,$404.99,$419.99,0
204089,$631.99,$649.99,A
204096,$480.99,$499.99,0
204098,$404.99,$419.99,0
204099,$480.99,$499.99,0
204113,$480.99,$499.99,0
204120,$538.99,$559.99,0
205003,$557.99,$579.99,0
205009,$557.99,$579.99,0
205021,$480.99,$499.99,0
205025,$480.99,$499.99,0
10010-8,"$1,698.99","$1,749.99",B
10010-9,"$1,862.99","$1,919.00",B
10219-10,"$1,009.99","$1,039.99",B
10219-11,"$1,087.99","$1,119.99",B
10219-12,"$1,087.99","$1,119.99",B
10219-5,$844.99,$869.99,A
10219-6,$912.99,$939.99,A
10219-7,$912.99,$939.99,A
10219-8,$912.99,$939.99,A
10219-9,"$1,009.99","$1,039.99",B
11097,$528.99,$549.99,0
11116,$432.99,$449.99,0
11157,$835.99,$859.99,A
11170,$602.99,$619.99,A
11172,$500.99,$519.99,0
11277,$602.99,$619.99,A
11283,$528.99,$549.99,0
11317,$528.99,$549.99,0
11359,$641.99,$659.99,A
11359-N,$912.99,$939.99,A
11362,$404.99,$419.99,0
11533,$776.99,$799.99,A
11752,$835.99,$859.99,A
11901,$404.99,$419.99,0
11944,$471.99,$489.99,0
12264,"$2,513.99","$2,589.99",C
12296-18,"$2,173.99","$2,239.99",C
12296-20,"$2,445.99","$2,519.99",C
12296-22,"$2,668.99","$2,749.99",C
12296-24,"$2,872.99","$2,959.99",C
12298-14,$679.99,$699.99,A
12298-16,$776.99,$799.99,A
12298-18,$844.99,$869.99,A
12298-20,$941.99,$969.99,A
12298-22,"$1,009.99","$1,039.99",B
12298-24,"$1,087.99","$1,119.99",B
12300-16,"$1,669.99","$1,719.99",B
12300-18,"$1,863.99","$1,919.99",B
12300-20,"$2,057.99","$2,119.99",C
12300-22,"$2,270.99","$2,339.99",C
12300-24,"$2,445.99","$2,519.99",C
12313-10,$576.99,$599.99,0
12313-11,$641.99,$659.99,A
12313-12,$641.99,$659.99,A
12313-5,$461.99,$479.99,0
12313-6,$538.99,$559.99,0
12313-7,$538.99,$559.99,0
12313-8,$538.99,$559.99,0
12313-9,$576.99,$599.99,0
12618-6,$641.99,$659.99,A
12639-6,$471.99,$489.99,0
12640-6,$728.99,$749.99,A
12642-7,"$1,213.99","$1,249.99",B
12642-7,"$1,213.99","$1,249.99",B
12642-8,"$1,455.99","$1,499.99",B
12642-8,"$1,455.99","$1,499.99",B
12645-7,$844.99,$869.99,A
12645-8,"$1,087.99","$1,119.99",B
12670-16,$922.99,$949.99,A
12670-18,"$1,009.99","$1,039.99",B
12670-20,"$1,087.99","$1,119.99",B
12670-22,"$1,213.99","$1,249.99",B
12670-24,"$1,320.99","$1,359.99",B
12694-7,$728.99,$749.99,A
12694-8,$844.99,$869.99,A
12720-16,"$1,785.99","$1,839.99",B
12720-18,"$1,863.99","$1,919.99",B
12720-20,"$1,979.99","$2,039.99",C
12720-22,"$2,212.99","$2,279.99",C
12720-24,"$2,445.99","$2,519.99",C
12722-18,"$3,027.99","$3,119.99",C
12722-20,"$3,318.99","$3,419.99",C
12722-22,"$3,725.99","$3,839.99",C
12722-24,"$4,191.99","$4,319.99",C
12774-6,$776.99,$799.99,A
12839-14,$423.99,$439.99,0
12839-16,$471.99,$489.99,0
12839-18,$528.99,$549.99,0
12839-20,$576.99,$599.99,0
12839-22,$621.99,$639.99,A
12839-24,$641.99,$659.99,A
12842-16,$922.99,$949.99,A
12842-18,$990.99,"$1,019.99",B
12842-20,"$1,087.99","$1,119.99",B
